"filename", "language", "YAML", "Properties", "JSON with Comments", "Markdown", "TypeScript", "JSON", "SCSS", "Vue", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\src\stores\Matching.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
"e:\hc\外包\employee-Profiling\src\stores\chart.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 4, 41
"e:\hc\外包\employee-Profiling\src\stores\employee.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 3, 15, 110
"e:\hc\外包\employee-Profiling\src\stores\loading.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 4, 27
"e:\hc\外包\employee-Profiling\src\stores\performance.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"e:\hc\外包\employee-Profiling\src\stores\post.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"e:\hc\外包\employee-Profiling\src\stores\tag.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\hc\外包\employee-Profiling\src\stores\users.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"e:\hc\外包\employee-Profiling\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 5, 36
"e:\hc\外包\employee-Profiling\src\styles\iconfont.scss", "SCSS", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 14, 61
"e:\hc\外包\employee-Profiling\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 10, 39, 257
"e:\hc\外包\employee-Profiling\src\util\http.ts", "TypeScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 2, 8, 98
"e:\hc\外包\employee-Profiling\src\util\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 1, 69
"e:\hc\外包\employee-Profiling\src\views\AccountManage\AccountManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 18, 200
"e:\hc\外包\employee-Profiling\src\views\Charts\Charts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 3, 60
"e:\hc\外包\employee-Profiling\src\views\Charts\components\PostChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 9, 153
"e:\hc\外包\employee-Profiling\src\views\Charts\components\SmallChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"e:\hc\外包\employee-Profiling\src\views\Charts\components\TagChart.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 6, 91
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 7, 140
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\components\EmployeeInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 0, 12, 386
"e:\hc\外包\employee-Profiling\src\views\Information\Information.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1236, 0, 0, 0, 1, 38, 1275
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 16, 98
"e:\hc\外包\employee-Profiling\src\views\Login\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 1, 20, 184
"e:\hc\外包\employee-Profiling\src\views\Matching\Matching.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 6, 85
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 13, 344
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"e:\hc\外包\employee-Profiling\src\views\NotAuth\NotAuth.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\NotFound\NotFound.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\NotServer\NotServer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\OverallPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 6, 124
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 10, 178
"e:\hc\外包\employee-Profiling\src\views\Performance\Performance.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 23, 417
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 15, 96
"e:\hc\外包\employee-Profiling\src\views\PositionPortrait\PositionPortrait.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 165
"e:\hc\外包\employee-Profiling\src\views\Register\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 1, 15, 182
"e:\hc\外包\employee-Profiling\src\views\TagManage\TagManage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 14, 207
"e:\hc\外包\employee-Profiling\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\hc\外包\employee-Profiling\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 36
"e:\hc\外包\employee-Profiling\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\hc\外包\employee-Profiling\vite.config.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 4, 60
"Total", "-", 5694, 5, 25, 13, 1087, 91, 285, 4884, 2216, 13, 74, 124, 1362, 15873
